"";"nct_id";"tool_results";"has_error";"tool_prompted_pmids";"tool_result_pmids";"tool_ident_steps";"tool_truncated";"X";"has_publication";"publication_doi";"publication_pmid";"publication_url";"identification_step";"has_summary_results";"completion_year";"dataset";"agree";"any_results";"tool_detected_correct_pub";"tool_found_correct_pub"
"11";"NCT02219893";FALSE;TRUE;"31669121,33804167,34585802";"";"";NA;4990;TRUE;"10.1245/s10434-017-5814-6";28224367;"doi.org/10.1245/s10434-017-5814-6";"Systematic Google search";FALSE;2016;"nordic";FALSE;TRUE;FALSE;FALSE
"12";"NCT00615940";TRUE;TRUE;"19442141,22418569,25677449,27498344,28820062";"25677449";"google_scholar";NA;1872;FALSE;"10.1200/jco.2013.31.15_suppl.508";NA;"http://ascopubs.org/doi/abs/10.1200/jco.2013.31.15_suppl.508";"Other";FALSE;2012;"iv";FALSE;FALSE;NA;NA
"13";"NCT00677638";FALSE;TRUE;"21148541";"";"";NA;248;TRUE;"10.1093/eurheartj/ehq445";21148541;"https://www.ncbi.nlm.nih.gov/pubmed/21148541?dopt=Abstract";"Linked at the registration";FALSE;2014;"iv";FALSE;TRUE;FALSE;TRUE
"14";"NCT02110043";FALSE;TRUE;"";"";"";NA;1923;TRUE;"10.3233/jad-191234";32280093;"https://pubmed.ncbi.nlm.nih.gov/32280093/";"Systematic Google search";FALSE;2017;"iv";FALSE;TRUE;FALSE;FALSE
"15";"NCT01083472";FALSE;TRUE;"23715648,32897452";"";"";NA;1635;FALSE;NA;NA;NA;NA;TRUE;2012;"iv";FALSE;TRUE;NA;NA
"16";"NCT00592553";FALSE;TRUE;"21791767,25193627,32058550";"";"";NA;895;TRUE;"10.1002/mus.24332";25042182;"https://www.ncbi.nlm.nih.gov/pubmed/25042182";"Systematic Google search";FALSE;2009;"iv";FALSE;TRUE;FALSE;FALSE
"17";"NCT01885000";FALSE;TRUE;"25127173,26416154";"";"";NA;746;TRUE;"10.1111/jdv.13305";26416154;"http://onlinelibrary.wiley.com/doi/10.1111/jdv.13305/abstract";"Linked at the registration";TRUE;2013;"iv";FALSE;TRUE;FALSE;TRUE
"18";"NCT03562325";FALSE;TRUE;"";"";"";NA;4816;TRUE;"10.1016/j.jcbs.2019.02.008";NA;"https://www.sciencedirect.com/science/article/abs/pii/S2212144718301959?via%3Dihub";"Systematic Google search";FALSE;2017;"nordic";FALSE;TRUE;NA;NA
"19";"NCT01407588";TRUE;TRUE;"28607610,30159751";"28607610";"pubmed_naive";NA;4002;FALSE;NA;NA;NA;NA;FALSE;2017;"nordic";FALSE;FALSE;NA;NA
"20";"NCT01081574";TRUE;TRUE;"26918853,31919579";"26918853,31919579";"pubmed_enhanced,google_scholar";NA;1633;FALSE;NA;NA;NA;NA;FALSE;2012;"iv";FALSE;FALSE;NA;NA
"21";"NCT01293266";FALSE;TRUE;"";"";"";NA;1173;TRUE;NA;23511362;"http://www.minervamedica.it/en/journals/minerva-anestesiologica/article.php?cod=R02Y2013N06A0626";"Systematic Google search";FALSE;2010;"iv";FALSE;TRUE;FALSE;FALSE
"22";"NCT01831947";FALSE;TRUE;"31917441";"";"";NA;1304;TRUE;"10.1007/s00417-017-3589-x";28102456;NA;"Systematic Google search";FALSE;2013;"iv";FALSE;TRUE;FALSE;FALSE
"23";"NCT03061240";TRUE;TRUE;"32609091";"32609091";"pubmed_enhanced";NA;4159;FALSE;NA;NA;NA;NA;FALSE;2018;"nordic";FALSE;FALSE;NA;NA
"24";"NCT01609946";FALSE;TRUE;"";"";"";NA;1257;TRUE;"10.1055/s-0042-104647";27070127;"https://www.ncbi.nlm.nih.gov/pubmed/27070127";"Systematic Google search";FALSE;2014;"iv";FALSE;TRUE;FALSE;FALSE
"25";"NCT01140438";FALSE;TRUE;"30009709,30022375,31148332,31449359,32872668,33905630,34320499,34606708,35066451,35900371,35923626,36627022,36867461";"";"";NA;3884;TRUE;"10.1111/dom.13797";31148332;"https://dom-pubs.onlinelibrary.wiley.com/doi/10.1111/dom.13797";"Linked at the registration";FALSE;2018;"nordic";FALSE;TRUE;FALSE;TRUE
"26";"NCT02126852";FALSE;TRUE;"";"";"";NA;2515;TRUE;NA;NA;"https://mediatum.ub.tum.de/1304544";"Systematic Google search";FALSE;2016;"iv";FALSE;TRUE;NA;NA
"27";"NCT01476553";TRUE;TRUE;"30185117";"30185117";"linked_at_registration,pubmed_naive,google_scholar,nct_match";NA;1898;FALSE;"10.1159/000439392";NA;"https://www.karger.com/Article/Pdf/439392";"Other";FALSE;2016;"iv";FALSE;FALSE;NA;NA
"28";"NCT00993408";FALSE;TRUE;"21536181,22362844,26846322,27670133,27988834,28891448,29447737";"";"";NA;429;TRUE;"10.1183/09031936.00137511";22362844;"http://erj.ersjournals.com/content/40/4/874";"Linked at the registration";FALSE;2009;"iv";FALSE;TRUE;FALSE;TRUE
"29";"NCT02382445";TRUE;TRUE;"29761891,31668780,32224720";"29761891";"google_scholar";NA;3012;FALSE;NA;NA;NA;NA;FALSE;2017;"iv";FALSE;FALSE;NA;NA
"30";"NCT01327703";FALSE;TRUE;"";"";"";NA;1721;FALSE;NA;NA;NA;NA;TRUE;2012;"iv";FALSE;TRUE;NA;NA
"31";"NCT01400360";TRUE;TRUE;"22234053,24847164,25366625,27080311";"25366625,27080311";"google_scholar";NA;1752;FALSE;NA;NA;NA;NA;FALSE;2011;"iv";FALSE;FALSE;NA;NA
"32";"NCT01431118";TRUE;TRUE;"29548317,29847191";"29847191";"pubmed_naive";NA;1765;FALSE;NA;NA;NA;NA;FALSE;2012;"iv";FALSE;FALSE;NA;NA
"33";"NCT02015312";TRUE;TRUE;"25204227,25855392,26673202,26907632,27815860,28128355,28648829,29854961,30228867";"27815860";"google_scholar";NA;2954;FALSE;NA;NA;NA;NA;FALSE;2017;"iv";FALSE;FALSE;NA;NA
"34";"NCT01039103";FALSE;TRUE;"25791806,28625673,31704342";"";"";NA;1047;TRUE;"10.1016/j.nano.2015.02.021";25791806;"https://www.ncbi.nlm.nih.gov/pubmed/?term=Prednisolone-containing+liposomes+accumulate+in+human+atherosclerotic+macrophages+upon+intravenous+administration";"Systematic Google search";FALSE;2011;"iv";FALSE;TRUE;FALSE;TRUE
"35";"NCT03316846";TRUE;TRUE;"32974656,35533363";"35533363";"pubmed_enhanced";NA;3658;FALSE;NA;NA;NA;NA;FALSE;2018;"nordic";FALSE;FALSE;NA;NA
"36";"NCT01583816";TRUE;TRUE;"23151919,30171698,31232099";"30171698";"google_scholar";NA;1802;FALSE;NA;NA;NA;NA;FALSE;2014;"iv";FALSE;FALSE;NA;NA
"37";"NCT02360033";FALSE;TRUE;"27029546,27764109,28657111";"";"";NA;2324;TRUE;"10.1111/famp.12492";31657011;"https://pubmed.ncbi.nlm.nih.gov/31657011/";"Systematic Google search";FALSE;2017;"iv";FALSE;TRUE;FALSE;FALSE
"38";"NCT01502878";TRUE;TRUE;"26095653,27859599,27916627,29377469,30561805,32497265,36246730";"26095653,27859599,27916627,29377469,36246730";"google_scholar,linked_at_registration,pubmed_naive,nct_match";NA;3994;FALSE;NA;NA;NA;NA;FALSE;2016;"nordic";FALSE;FALSE;NA;NA
"39";"NCT01438463";FALSE;TRUE;"";"";"";NA;1214;TRUE;"10.2500/ajra.2010.24.3508";21244725;"https://www.ncbi.nlm.nih.gov/pubmed/?term=Efficacy+and+safety+of+a+glutaraldehyde-modified+house+dust+mite+extract+in+allergic+rhinitis";"Systematic Google search";FALSE;2013;"iv";FALSE;TRUE;FALSE;FALSE
"40";"NCT01303250";TRUE;TRUE;"22661747,24056586";"24056586";"pubmed_naive";NA;3063;FALSE;NA;NA;NA;NA;FALSE;2015;"iv";FALSE;FALSE;NA;NA
"41";"NCT00132210";TRUE;TRUE;"17302380,18021769,19538070";"17302380";"linked_at_registration,google_scholar";NA;1356;FALSE;NA;NA;NA;NA;FALSE;2010;"iv";FALSE;FALSE;NA;NA
"42";"NCT00904657";FALSE;TRUE;"28571114";"";"";NA;1004;TRUE;"10.1038/clpt.2010.20";20376000;"http://onlinelibrary.wiley.com/doi/10.1038/clpt.2010.20/full";"Systematic Google search";FALSE;2009;"iv";FALSE;TRUE;FALSE;FALSE
"43";"NCT02215603";FALSE;TRUE;"27399349,27794137,27822028,29351130,32439303";"";"";NA;4830;TRUE;"10.1249/MSS.0000000000001354";28640061;"https://journals.lww.com/acsm-msse/Fulltext/2017/11000/Intermittent_Standing_but_not_a_Moderate_Exercise.20.aspx";"Systematic Google search";FALSE;2016;"nordic";FALSE;TRUE;FALSE;FALSE
"44";"NCT03092206";FALSE;TRUE;"";"";"";NA;1956;TRUE;"10.3851/imp3271";30281025;"https://www.intmedpress.com/journals/avt/abstract.cfm?id=3271&pid=48";"Systematic Google search";FALSE;2017;"iv";FALSE;TRUE;FALSE;FALSE
"45";"NCT03188640";FALSE;TRUE;"";"";"";NA;3865;TRUE;"10.1007/s11695-019-04197-5";31641981;"https://link-springer-com.mime.uit.no/article/10.1007/s11695-019-04197-5";"Other";FALSE;2016;"nordic";FALSE;TRUE;FALSE;FALSE
"46";"NCT04316234";FALSE;TRUE;"";"";"";NA;4070;TRUE;"10.1080/20018525.2020.1861580";33456728;"https://www.tandfonline.com/doi/full/10.1080/20018525.2020.1861580";"Systematic Google search";FALSE;2017;"nordic";FALSE;TRUE;FALSE;FALSE
"47";"NCT03871413";FALSE;TRUE;"";"";"";NA;3956;TRUE;"10.1097/MAO.0000000000003380";35015750;"doi.org/10.1097/MAO.0000000000003380";"Systematic Google search";FALSE;2019;"nordic";FALSE;TRUE;FALSE;FALSE
"48";"NCT00860730";FALSE;TRUE;"";"";"";NA;983;TRUE;"10.1093/ejcts/ezv040";25750010;"https://www.ncbi.nlm.nih.gov/pubmed/25750010";"Systematic Google search";FALSE;2015;"iv";FALSE;TRUE;FALSE;FALSE
"49";"NCT02326246";FALSE;TRUE;"";"";"";NA;3523;TRUE;"10.1177/0284185117723372";28747132;"https://doi.org/10.1177/0284185117723372";"Systematic Google search";FALSE;2017;"nordic";FALSE;TRUE;FALSE;FALSE
"50";"NCT03090087";FALSE;TRUE;"28395971,28798196,29848236,30419216,33035289";"";"";NA;4129;TRUE;"10.1159/000500563";31993423;"https://doi.org/10.1159/000500563";"Systematic Google search";FALSE;2017;"nordic";FALSE;TRUE;FALSE;FALSE
"51";"NCT02425371";TRUE;TRUE;"25217434,26820355,29305560,32236720,33989713,34032788,34102660,35170237";"26820355";"linked_at_registration,pubmed_naive,google_scholar";NA;3359;FALSE;NA;NA;NA;NA;FALSE;2019;"nordic";FALSE;FALSE;NA;NA
"52";"NCT03141697";FALSE;TRUE;"";"";"";NA;2406;TRUE;"10.23736/s1121-421x.18.02478-9";30008194;"https://pubmed.ncbi.nlm.nih.gov/30008194/";"Systematic Google search";FALSE;2014;"iv";FALSE;TRUE;FALSE;FALSE
"53";"NCT00776230";FALSE;TRUE;"30962094";"";"";NA;1489;FALSE;NA;NA;NA;NA;TRUE;2010;"iv";FALSE;TRUE;NA;NA
"54";"NCT00437307";FALSE;TRUE;"22180404,23459506";"";"";NA;859;TRUE;"10.1093/annonc/mdw418";27789470;"https://www.ncbi.nlm.nih.gov/pubmed/27789470";"Systematic Google search";FALSE;2015;"iv";FALSE;TRUE;FALSE;FALSE
"55";"NCT00457951";FALSE;TRUE;"";"";"";NA;1401;FALSE;NA;NA;NA;NA;TRUE;2009;"iv";FALSE;TRUE;NA;NA
"56";"NCT02858817";FALSE;TRUE;"31161734,31679015";"";"";NA;1959;TRUE;"10.1038/nature21060";28199305;"https://pubmed.ncbi.nlm.nih.gov/28199305/";"Systematic Google search";FALSE;2017;"iv";FALSE;TRUE;FALSE;FALSE
"57";"NCT00089804";TRUE;TRUE;"18004299,18668592,19513729,22335517,27032059,29426575";"18668592";"google_scholar";NA;1352;FALSE;NA;NA;NA;NA;FALSE;2009;"iv";FALSE;FALSE;NA;NA
"58";"NCT02727140";FALSE;TRUE;"";"";"";NA;2113;TRUE;"10.3238/arztebl.2018.0833";NA;"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6375068/";"Systematic Google search";FALSE;2017;"iv";FALSE;TRUE;NA;NA
"59";"NCT01137734";FALSE;TRUE;"";"";"";NA;1092;TRUE;"10.1093/ejcts/ezt128";23530026;"https://www.ncbi.nlm.nih.gov/pubmed/23530026";"Systematic Google search";FALSE;2014;"iv";FALSE;TRUE;FALSE;FALSE
"60";"NCT01116024";FALSE;TRUE;"";"";"";NA;1649;FALSE;NA;NA;NA;NA;TRUE;2012;"iv";FALSE;TRUE;NA;NA
"61";"NCT02508220";FALSE;TRUE;"";"";"";NA;2586;TRUE;"10.3389/fneur.2017.00494";28983279;"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5613090/";"Systematic Google search";FALSE;2015;"iv";FALSE;TRUE;FALSE;FALSE
"62";"NCT01277406";FALSE;TRUE;"24065624,24202327,25738536,26796303,30582481,31218726";"";"";NA;1168;TRUE;"10.1200/jco.2013.31.15_suppl.3625";NA;"http://ascopubs.org/doi/abs/10.1200/jco.2013.31.15_suppl.3625";"Systematic Google search";FALSE;2015;"iv";FALSE;TRUE;NA;NA
"63";"NCT01631799";FALSE;TRUE;"29418067,29743101,29988573";"";"";NA;1263;TRUE;NA;NA;"http://purl.uni-rostock.de/fodb/pub/49779";"Other";FALSE;2011;"iv";FALSE;TRUE;NA;NA
"64";"NCT03163927";TRUE;TRUE;"29134571,29442164,29784718";"29134571,29784718";"pubmed_naive";NA;3891;FALSE;NA;NA;NA;NA;FALSE;2017;"nordic";FALSE;FALSE;NA;NA
"65";"NCT00854516";FALSE;TRUE;"24843079";"";"";NA;982;TRUE;"10.1177/0268355514529507";24843079;NA;"Systematic Google search";FALSE;2010;"iv";FALSE;TRUE;FALSE;TRUE
"66";"NCT03525158";TRUE;TRUE;"32525244,35433279";"32525244";"google_scholar";NA;5050;FALSE;NA;NA;NA;NA;FALSE;2018;"nordic";FALSE;FALSE;NA;NA
"67";"NCT02251535";FALSE;TRUE;"28656456";"";"";NA;2041;TRUE;"10.1007/s00167-017-4622-7";28656456;"https://link.springer.com/article/10.1007/s00167-017-4622-7#additional-information";"Systematic Google search";FALSE;2015;"iv";FALSE;TRUE;FALSE;TRUE
"68";"NCT02012751";TRUE;TRUE;"26693486";"26693486";"pubmed_naive";NA;4818;FALSE;NA;NA;NA;NA;FALSE;2016;"nordic";FALSE;FALSE;NA;NA
"69";"NCT00779714";TRUE;TRUE;"26799424,28380455,29100289,29256902";"29100289";"google_scholar";NA;1492;FALSE;"10.1200/jco.2015.33.15_suppl.e20080";NA;"http://ascopubs.org/doi/abs/10.1200/jco.2015.33.15_suppl.e20080";"Other";FALSE;2013;"iv";FALSE;FALSE;NA;NA
"70";"NCT02534285";FALSE;TRUE;"";"";"";NA;2103;TRUE;"10.19224/ai2020.196";NA;"https://www.ai-online.info/archiv/2020/06-2020/laermabschirmung-senkt-nicht-den-desfluranbedarf-waehrend-allgemein-anaesthesien-fuehrt-aber-zu-einer-verminderung-von-bis-werten-60.html";"Systematic Google search";FALSE;2016;"iv";FALSE;TRUE;NA;NA
"71";"NCT00766155";FALSE;TRUE;"21856136,22503032,23486456,23667205,29976501,30547773,31593484";"";"";NA;942;TRUE;"10.1016/s0167-8140(15)30355-8";NA;"http://www.thegreenjournal.com/article/S0167-8140(15)30355-8/abstract";"Systematic Google search";FALSE;2011;"iv";FALSE;TRUE;NA;NA
"72";"NCT01532453";FALSE;TRUE;"29086412";"";"";NA;2720;FALSE;NA;NA;NA;NA;TRUE;2014;"iv";FALSE;TRUE;NA;NA
"73";"NCT00967343";TRUE;TRUE;"29500069,32047237";"32047237";"pubmed_enhanced";NA;1580;FALSE;NA;NA;NA;NA;FALSE;2012;"iv";FALSE;FALSE;NA;NA
"74";"NCT01211873";FALSE;TRUE;"";"";"";NA;1680;FALSE;NA;NA;NA;NA;TRUE;2011;"iv";FALSE;TRUE;NA;NA
"75";"NCT02343029";FALSE;TRUE;"25685779,25872789,28934191,29293024,30077618";"";"";NA;2173;TRUE;"10.1038/tp.2017.135";28934191;"https://www.nature.com/articles/tp2017135";"Systematic Google search";FALSE;2015;"iv";FALSE;TRUE;FALSE;TRUE
"76";"NCT01548677";TRUE;TRUE;"25336116,26354331,26527805,27289552,27683128,28762384,29893791,31109952,31330794,31717458,31727113";"27289552,29893791";"linked_at_registration,pubmed_naive,google_scholar,nct_match";NA;3046;FALSE;NA;NA;NA;NA;FALSE;2017;"iv";FALSE;FALSE;NA;NA
"77";"NCT00718939";FALSE;TRUE;"23657125,23732147,26364257,26730288,27406184,27525317,29744528,32241533";"";"";NA;928;TRUE;"10.1016/j.jacc.2010.03.089";20883933;"http://www.sciencedirect.com/science/article/pii/S0735109710027221";"Systematic Google search";FALSE;2012;"iv";FALSE;TRUE;FALSE;FALSE
"78";"NCT00542828";FALSE;TRUE;"30838775";"";"";NA;1417;FALSE;NA;NA;NA;NA;TRUE;2009;"iv";FALSE;TRUE;NA;NA
"79";"NCT00927797";FALSE;TRUE;"";"";"";NA;1014;TRUE;"10.3109/10428194.2014.911869";24724778;"http://www.tandfonline.com/doi/abs/10.3109/10428194.2014.911869";"Systematic Google search";FALSE;2012;"iv";FALSE;TRUE;FALSE;FALSE
"80";"NCT01221779";FALSE;TRUE;"";"";"";NA;1946;TRUE;"10.1093/brain/aww002";26912641;"https://pubmed.ncbi.nlm.nih.gov/26912641/";"Systematic Google search";FALSE;2014;"iv";FALSE;TRUE;FALSE;FALSE
"81";"NCT00452192";TRUE;TRUE;"19934080";"19934080";"pubmed_naive";NA;1400;FALSE;NA;NA;NA;NA;FALSE;2009;"iv";FALSE;FALSE;NA;NA
"82";"NCT01947595";FALSE;TRUE;"";"";"";NA;2668;TRUE;"10.1007/s00125-015-3760-z";26404062;"https://link.springer.com/article/10.1007/s00125-015-3760-z";"Systematic Google search";FALSE;2017;"iv";FALSE;TRUE;FALSE;FALSE
"83";"NCT01229033";TRUE;TRUE;"29759752,29988240,31221354,33200213";"29759752,29988240";"pubmed_naive";NA;1686;FALSE;NA;NA;NA;NA;FALSE;2014;"iv";FALSE;FALSE;NA;NA
"84";"NCT03080870";FALSE;TRUE;"32337789,36504364";"";"";NA;4138;TRUE;"10.1111/hsc.13003";32337789;"https://doi.org/10.1111/hsc.13003";"Linked at the registration";FALSE;2018;"nordic";FALSE;TRUE;FALSE;TRUE
"85";"NCT01948726";TRUE;TRUE;"33001241";"33001241";"google_scholar,nct_match";NA;3084;FALSE;NA;NA;NA;NA;FALSE;2015;"iv";FALSE;FALSE;NA;NA
"86";"NCT00927134";TRUE;TRUE;"25981636,29223406,29302845,30317271,30761141,31066249,31761379,31808905";"25981636";"google_scholar";NA;1568;FALSE;NA;NA;NA;NA;FALSE;2011;"iv";FALSE;FALSE;NA;NA
"87";"NCT00440310";FALSE;TRUE;"20011559,25724579";"";"";NA;1397;FALSE;NA;NA;NA;NA;TRUE;2011;"iv";FALSE;TRUE;NA;NA
"88";"NCT04792762";TRUE;TRUE;"36651162";"36651162";"google_scholar";NA;3801;FALSE;NA;NA;NA;NA;FALSE;2019;"nordic";FALSE;FALSE;NA;NA
"89";"NCT00204568";TRUE;TRUE;"31785463";"31785463";"pubmed_naive,google_scholar,nct_match";NA;1371;FALSE;NA;NA;NA;NA;FALSE;2013;"iv";FALSE;FALSE;NA;NA
"90";"NCT02252575";FALSE;TRUE;"";"";"";NA;2508;TRUE;"10.3233/thc-191891";31744037;NA;"Systematic Google search";FALSE;2017;"iv";FALSE;TRUE;FALSE;FALSE
"91";"NCT00742859";FALSE;TRUE;"20539909,21112648,21143166,21385107,23242740,23683607,24072689";"";"";NA;935;TRUE;"10.1093/eurheartj/eht039";23487517;"https://academic.oup.com/eurheartj/article/34/20/1498/489785/Betrixaban-compared-with-warfarin-in-patients-with";"Systematic Google search";FALSE;2009;"iv";FALSE;TRUE;FALSE;FALSE
"92";"NCT00807456";FALSE;TRUE;"";"";"";NA;326;TRUE;"10.1111/clr.12079";23210667;"http://onlinelibrary.wiley.com/doi/10.1111/clr.12079/abstract";"Linked at the registration";TRUE;2013;"iv";FALSE;TRUE;FALSE;FALSE
"93";"NCT01932931";FALSE;TRUE;"24215312,25370958,27105822";"";"";NA;4677;TRUE;"10.14283/jarcp.2019.9";NA;"http://dx.doi.org/10.14283/jarcp.2019.9";"Systematic Google search";FALSE;2016;"nordic";FALSE;TRUE;NA;NA
"94";"NCT01822353";FALSE;TRUE;"";"";"";NA;3686;TRUE;"10.1002/iid3.218";29542268;"https://doi.org/10.1002/iid3.218";"Systematic Google search";TRUE;2017;"nordic";FALSE;TRUE;FALSE;FALSE
"95";"NCT01534702";TRUE;TRUE;"30378121";"30378121";"pubmed_enhanced";NA;1899;FALSE;NA;NA;"http://www.bloodjournal.org/content/128/22/4038";"Other";FALSE;2015;"iv";FALSE;FALSE;NA;NA
"96";"NCT02144870";FALSE;TRUE;"";"";"";NA;1952;TRUE;"10.1177/0145445518796203";30146896;"https://journals.sagepub.com/doi/10.1177/0145445518796203";"Systematic Google search";FALSE;2017;"iv";FALSE;TRUE;FALSE;FALSE
"97";"NCT03770910";FALSE;TRUE;"36683195,36747334";"";"";NA;3974;TRUE;"10.1111/dom.14186";32886401;"https://doi.org/10.1111/dom.14186";"Systematic Google search";FALSE;2019;"nordic";FALSE;TRUE;FALSE;FALSE
"98";"NCT02764684";TRUE;TRUE;"29874201,32030625,34202210";"29874201";"google_scholar";NA;4548;FALSE;NA;NA;NA;NA;FALSE;2016;"nordic";FALSE;FALSE;NA;NA
"99";"NCT01079104";FALSE;TRUE;"25895618,26311600,26785141,28209134";"";"";NA;1065;TRUE;"10.1186/s12876-017-0569-x";28209134;"https://www.ncbi.nlm.nih.gov/pubmed/28209134";"Systematic Google search";FALSE;2013;"iv";FALSE;TRUE;FALSE;TRUE
"100";"NCT01593540";FALSE;TRUE;"24407549";"";"";NA;809;TRUE;"10.1007/s00784-013-1164-3";24407549;NA;"Other";FALSE;2011;"iv";FALSE;TRUE;FALSE;TRUE
"101";"NCT01191359";FALSE;TRUE;"21832831,27790763,28400148";"";"";NA;1122;TRUE;"10.1016/j.jaci.2014.03.026";24794686;"https://www.ncbi.nlm.nih.gov/pubmed/24794686";"Systematic Google search";FALSE;2011;"iv";FALSE;TRUE;FALSE;FALSE
"102";"NCT01148264";TRUE;TRUE;"30246876";"30246876";"google_scholar";NA;1664;FALSE;NA;NA;NA;NA;FALSE;2014;"iv";FALSE;FALSE;NA;NA
"103";"NCT02134600";FALSE;TRUE;"27885969,33964665";"";"";NA;5048;TRUE;"10.1016/j.plefa.2021.102285";33964665;"https://www.sciencedirect.com/science/article/pii/S095232782100048X";"Systematic Google search";FALSE;2016;"nordic";FALSE;TRUE;FALSE;TRUE
"104";"NCT00739635";TRUE;TRUE;"21223542,22149000,22789414,23121658";"21223542";"pubmed_naive";NA;1475;FALSE;NA;NA;NA;NA;FALSE;2010;"iv";FALSE;FALSE;NA;NA
"105";"NCT02521623";TRUE;TRUE;"28917935,29280856,29369979,29980528";"29369979";"google_scholar,nct_match";NA;3348;FALSE;NA;NA;NA;NA;FALSE;2018;"nordic";FALSE;FALSE;NA;NA
"106";"NCT02090244";FALSE;TRUE;"29448916,31422423,31452431,32228493";"";"";NA;4967;TRUE;NA;NA;"http://www.clinicsinsurgery.com/abstract.php?aid=7939";"Systematic Google search";FALSE;2019;"nordic";FALSE;TRUE;NA;NA
"107";"NCT01352988";FALSE;TRUE;"27859683,30098058,32053878,33066228";"";"";NA;1194;TRUE;"10.1177/0961203316644335";27147621;"https://www.ncbi.nlm.nih.gov/pubmed/27147621";"Systematic Google search";FALSE;2014;"iv";FALSE;TRUE;FALSE;FALSE
"108";"NCT02336529";TRUE;TRUE;"26815258,31605312,33736737";"26815258";"google_scholar";NA;3516;FALSE;NA;NA;NA;NA;FALSE;2017;"nordic";FALSE;FALSE;NA;NA
"109";"NCT00787683";TRUE;TRUE;"23073567,25262251,28770784";"25262251";"linked_at_registration,google_scholar,nct_match";NA;1498;FALSE;NA;NA;NA;NA;FALSE;2012;"iv";FALSE;FALSE;NA;NA
"110";"NCT01614301";FALSE;TRUE;"23064233,23515890,25654738,25866814,26417987,26865640,27664035,27879288,27909934";"";"";NA;2597;TRUE;"10.1111/jdv.13391";26417987;"https://onlinelibrary.wiley.com/doi/full/10.1111/jdv.13391";"Systematic Google search";FALSE;2016;"iv";FALSE;TRUE;FALSE;TRUE
"111";"NCT03382535";FALSE;TRUE;"";"";"";NA;3609;TRUE;"10.1016/j.jvoice.2022.06.029";35902298;"https://www.jvoice.org/article/S0892-1997(22)00191-6/fulltext";"Systematic Google search";FALSE;2016;"nordic";FALSE;TRUE;FALSE;FALSE
