nct_id,tool_results,has_error,tool_prompted_pmids,tool_result_pmids,tool_ident_steps,tool_truncated
NCT00057707,true,true,"15090936,17579498,17634412,19914296,21909634,22820555,27147593,31828767,36610558",31828767,google_scholar,undefined
NCT00038103,false,true,null,,,undefined
NCT00917735,true,true,"25254214,26581683,26701796,27806972,28747487,28765194,28904061,29290208,30926986,31327752,37011435","26581683,26701796,27806972,28904061,30926986,37011435","linked_at_registration,google_scholar,nct_match,pubmed_naive,pubmed_enhanced",undefined
NCT00847457,true,true,"20454641,24244220,26233322,33024452,36722407,37439598,38267797,38301190,38868129,39415283",24244220,"pubmed_enhanced,google_scholar",undefined
NCT01573988,true,true,"23333553,24472321,26508463,36986274","23333553,24472321,26508463",google_scholar,undefined
NCT01585246,true,true,"26891611,34676991,37504309,38557207,38598274,39180378,39299771",26891611,pubmed_enhanced,undefined
NCT01035008,true,true,"26788257,30140684,34839621,36089484,37887627","30140684,36089484","pubmed_naive,pubmed_enhanced",undefined
NCT03563339,false,true,null,,,undefined
NCT02170831,false,true,"11960487,17322149,18006647",,,undefined
NCT03547102,false,true,null,,,undefined
NCT02176317,true,true,"26079441,28985203,29405603,30070044,30620122,31352835,32444220,32616759,32972215,33207392,33271192,36353577,36935631,39496747","29405603,30070044,30620122,32444220,32616759,33271192","pubmed_naive,pubmed_enhanced,google_scholar,linked_at_registration,nct_match",undefined
NCT00587041,true,true,"20736987,32926886,33358495,39242045,39272782",20736987,"linked_at_registration,pubmed_enhanced,google_scholar,nct_match",undefined
NCT03300089,true,true,30334934,30334934,google_scholar,undefined
NCT00821353,false,true,"24500243,27871122,29766867",,,undefined
NCT03394014,false,true,"28822098,30100842,31901231",,,undefined
NCT02315495,false,true,"31790715,35088682,39109517,39229371,39279997,39468016,39472978",,,undefined
NCT02952664,true,true,"29246340,31871828,33233742,36001699",31871828,"pubmed_naive,pubmed_enhanced",undefined
NCT00506857,false,true,null,,,undefined
NCT01277159,false,true,29121400,,,undefined
NCT00623571,true,true,"19786675,36824014,37337138,37674146,37869700,38561754,38703082",19786675,"linked_at_registration,google_scholar,nct_match",undefined
NCT03594773,true,true,"34862593,37121279,37466002,38135358,39086494,39145663,39187178",37121279,"linked_at_registration,pubmed_enhanced,google_scholar",undefined
NCT03321227,false,true,"38257135,38479905,38931176,39098209,39123501",,,undefined
NCT01125683,false,true,"21987594,23392897,38334629",,,undefined
NCT01035229,true,true,"23479136,24115810,24910242,25058218,25962426,27130844,27510230,33442538,37428789,38910299","25058218,27130844","linked_at_registration,pubmed_naive,pubmed_enhanced,google_scholar,nct_match",undefined
NCT02005458,false,true,"35163777,35853517,36232631,36804940,37121015,38572038,39232773,39297568,39485719",,,undefined
NCT00639314,true,true,"21046497,21248633,21667052,21861144,26747224","21248633,21861144","linked_at_registration,pubmed_naive,pubmed_enhanced,google_scholar,nct_match",undefined
NCT02077491,true,true,"25796103,28477944,39023008,39026321,39033139,39366923,39451428","25796103,28477944","linked_at_registration,google_scholar,nct_match",undefined
NCT01675141,false,true,null,,,undefined
NCT01591590,true,true,"24885112,27120807,32987838","24885112,32987838","linked_at_registration,pubmed_naive,pubmed_enhanced,google_scholar,nct_match",undefined
NCT02223117,false,true,"27650431,29319441,30718153,36061448,37393239,39063021",,,undefined
NCT02561299,true,true,"27152654,35086385,37757890",35086385,"linked_at_registration,google_scholar",undefined
NCT02058511,false,true,"37357367,37610736,38159932,38504035,38522974",,,undefined
NCT01317615,true,true,"22588151,23579358,23626563,24281308,26075448,26223571,28535181,29656752,36847048","28535181,29656752","linked_at_registration,pubmed_naive,google_scholar,nct_match",undefined
NCT00182689,true,true,"20881645,22356287,24420556,25490004,25800975,26498504,35609720,37580661,38339263,39391239,39461754",20881645,"pubmed_naive,google_scholar",undefined
NCT04885647,false,true,null,,,undefined
NCT00315861,true,true,"18728710,20798192",20798192,pubmed_naive,undefined
NCT01156103,true,true,"23054854,23440308,30503947",23440308,"linked_at_registration,pubmed_naive,google_scholar,nct_match",undefined
NCT02794844,false,true,"29620484,34599365,36976575,37079871,37168465,37204839,37470293",,,undefined
NCT04206527,true,true,"31765417,33308230",33308230,"linked_at_registration,pubmed_naive,pubmed_enhanced,google_scholar,nct_match",undefined
NCT00165074,false,true,17394937,,,undefined
NCT03187470,true,true,30121181,30121181,"linked_at_registration,pubmed_naive,google_scholar",undefined
NCT00003542,false,true,"10680148,12084217,15606336,16163253,24183081,25410406,26404107",,,undefined
NCT01178034,true,true,"22911785,23237631,26710337,29396738,31755368,39423147,39481583,39499034,39510414","26710337,29396738","linked_at_registration,pubmed_enhanced,google_scholar,nct_match",undefined
NCT03755557,true,true,32569395,32569395,pubmed_naive,undefined
NCT00945698,true,true,"24368436,25028082,25995276,26063066,26740684,26912898,26956611,27395385,27474016,28978680,29349922,30593271,31010435,33381802,33830247,34479861,36078607,38659718,38833839,38936551,39154665,39388679","24368436,25028082,25995276,26063066,26740684,26956611,27395385,31010435","linked_at_registration,google_scholar,nct_match",undefined
NCT00664885,true,true,"29127813,37553717,37562852,38089529,39506661",29127813,"pubmed_enhanced,google_scholar",undefined
NCT01534039,false,true,null,,,undefined
NCT00135265,false,true,"33646963,34177412,35100321,39261873,39463684",,,undefined
NCT00137787,true,true,23317527,23317527,"linked_at_registration,google_scholar",undefined
NCT02354248,false,true,"34840896,35967109,36911955,38489948",,,undefined
NCT02887235,false,true,39388522,,,undefined
NCT04320407,true,true,"37589726,37812258,38178312,38544973,39180536","37589726,37812258,39180536",pubmed_enhanced,undefined
NCT02283359,true,true,"27113410,30115935,30530076,30976603",30115935,google_scholar,undefined
NCT01717573,true,true,"24583294,26055262,27544605,28747397,32798463,39286900,39317437,39342486,39481808",24583294,"linked_at_registration,pubmed_enhanced,google_scholar,nct_match",undefined
NCT01841632,true,true,"24231429,25469010,25671090,26041737,26792063,27750256,28740511,31512503,33370477,36549959",26041737,"pubmed_naive,google_scholar",undefined
NCT03061981,false,true,31377146,,,undefined
NCT04278612,true,true,"32164597,38877422,39028229,39398353",32164597,"linked_at_registration,pubmed_enhanced,google_scholar,nct_match",undefined
NCT03888066,true,true,"33599908,33608263,33677569,34136782,34162695,34357841,34709583,34800079,35369022,35510569,35687107,35851641,35900838,36587945,39159624,39322323,39340493","35900838,39159624,39340493","linked_at_registration,pubmed_naive,pubmed_enhanced,google_scholar,nct_match",undefined
NCT02358473,false,true,"34039310,34064995,35497874,38641274,38756099,39399656,39485838",,,undefined
NCT00785616,true,true,"19632952,22223595,25942462,38416557,38422381,38961835,39437141,39473544",22223595,"pubmed_enhanced,google_scholar",undefined
NCT03363854,true,true,"33000503,35843520,35857179,36082590,36152216,37610789,37682422,37804473,38563683,38613642","33000503,35843520,35857179,36082590,36152216,37610789","google_scholar,pubmed_naive,linked_at_registration,nct_match,pubmed_enhanced",undefined
NCT00069823,true,true,"19357404,19422079,19661245,21819338,22885561,23026499,26712474,30838750,37536444,39288408,39299388,39362797,39467609","19357404,19661245,21819338","linked_at_registration,google_scholar,nct_match",undefined
NCT02135159,false,true,"26112808,27366963,29370839,29604436,32207041,32636942,34944978,37454577,39486766",,,undefined
NCT02801539,true,true,"31303277,33127291,34231549,36033343,36265961,38157654","31303277,33127291","linked_at_registration,pubmed_naive,google_scholar,nct_match,pubmed_enhanced",undefined
NCT04449484,false,true,"34654977,35491799,36083395,38280078,38416311",,,undefined
NCT03075683,true,true,"37748597,39498476",39498476,"pubmed_naive,pubmed_enhanced,google_scholar",undefined
NCT00970424,false,true,30431561,,,undefined
NCT01446835,false,true,null,,,undefined
NCT01517438,false,true,"28858134,39087414,39193638,39306481",,,undefined
NCT00003312,true,true,"38951462,39084158,39095649,39200986,39202073",39202073,pubmed_naive,undefined
NCT03376048,true,true,"31266529,32632489,38875150,38946090,39073661,39159627,39375445",32632489,"linked_at_registration,google_scholar,nct_match",undefined
NCT01594060,false,true,null,,,undefined
NCT00763763,false,true,"25847743,25878120,27121472,38452207",,,undefined
NCT01439971,true,true,"30151972,32008381,33064330,33540485,34163136,34430790,36191169,36265129,37875382,38171926",30151972,"pubmed_naive,google_scholar,nct_match",undefined
NCT06368362,false,true,34086628,,,undefined
NCT02581592,false,true,"31632000,33821890",,,undefined
NCT00795405,false,true,"27220854,29980518,33858859,34357888,39493443",,,undefined
NCT00171054,false,true,null,,,undefined
NCT02855060,true,true,33440330,33440330,"pubmed_naive,google_scholar",undefined
NCT03336476,false,true,32428718,,,undefined
NCT01801631,true,true,"24389352,24438342,26031804",26031804,google_scholar,undefined
NCT02570165,true,true,"28848935,30612088,30682248,30880951,32401655,33243107,33324119,35142480,37364225",30880951,"linked_at_registration,pubmed_naive",undefined
NCT00158756,false,true,"17699836,24004825,26942345,31684685,37336660",,,undefined
NCT01200355,true,true,"24439393,24480373,27815496,29746955",29746955,"pubmed_enhanced,google_scholar",undefined
NCT01227642,true,true,"17407916,18397022,19206692,26235201",26235201,"linked_at_registration,google_scholar",undefined
NCT03324386,false,true,"24480113,33909761,34054363",,,undefined
NCT00046228,true,true,"16918260,17573380,18499565,18499572,18510478,19850248,19850249,20170878,34373234","18499565,19850248,19850249,20170878","linked_at_registration,pubmed_naive,nct_match,google_scholar",undefined
NCT03508154,false,true,30253280,,,undefined
NCT04718324,true,true,"37800546,39067305,39243583,39362047,39485904",37800546,"pubmed_enhanced,google_scholar,nct_match",undefined
NCT02134249,true,true,"33851429,37701088",33851429,"linked_at_registration,pubmed_naive,google_scholar,nct_match",undefined
NCT01886495,false,true,"38500219,38975085,39196532,39399727,39433734,39456009,39461896",,,undefined
NCT02579382,true,true,"29104121,29444493,29455797,29851204,31041070,31173468,35122418,36751107,37804353",29851204,"linked_at_registration,pubmed_naive,pubmed_enhanced,google_scholar,nct_match",undefined
NCT00208494,false,true,"27295038,38235918",,,undefined
NCT00328601,true,true,"17065669,19789070,25214797,39025114,39435482,39502931,39506193,39511616",17065669,"linked_at_registration,pubmed_naive,nct_match",undefined
NCT01058746,false,true,"23907788,25115420,25643938,28289542,31569496,34008138,35362216,36087087",,,undefined
NCT00887783,true,true,"26803187,28410809,33385069,37850659,37934081,38009051,38305322,38988806,39159679,39357675","26803187,28410809,33385069","google_scholar,linked_at_registration,nct_match",undefined
NCT03512197,true,true,"31163594,31207462,31533852,33654204,34316017,35332831,35428972,35922444,37459852,37581981",34316017,pubmed_enhanced,undefined
NCT01290276,false,true,"22356892,26539014,27377486,38956460,39074012,39180302,39295536",,,undefined
NCT00833638,true,true,"26765325,27101805,27114197,27988986,30362173",26765325,pubmed_enhanced,undefined
NCT03969810,true,true,"33444615,34507866,35607975,35997501,36367851,36506831,37391367,38780558,38869405,38924848,39023049,39457994","35607975,37391367","google_scholar,pubmed_enhanced,nct_match",undefined
NCT04866628,true,true,"35749144,37431025,37513637,37828090,38068769,38931187,39459037","35749144,37431025","pubmed_enhanced,google_scholar",undefined
NCT03862443,true,true,"32730310,33090505,35455862,36781405",32730310,"linked_at_registration,pubmed_naive,pubmed_enhanced,google_scholar,nct_match",undefined
NCT05012735,false,true,39136023,,,undefined
NCT01710072,true,true,"23525414,31337731,32114538,32424006,33361379,35028924,39466286,39467927,39496843","23525414,32114538","linked_at_registration,google_scholar,nct_match,pubmed_enhanced",undefined
NCT04652622,true,true,37903857,37903857,google_scholar,undefined
NCT03011034,true,true,"28958287,29118268,30553527,31723800,32153582,32904669,33108243,33448430,34043467,34756806,36012983,38048786,39505558",33448430,google_scholar,undefined
NCT01201629,true,true,"28837443,29611142,31139420,32973672",28837443,"pubmed_naive,google_scholar",undefined
NCT03965533,true,true,"32576412,33113155,34067904,35265944,35755891,35954196,36088650,37132280,37323059","33113155,36088650","pubmed_enhanced,google_scholar",undefined
NCT04486443,true,true,"34344255,34889153,38065916,38608114,39121323",34889153,"pubmed_naive,pubmed_enhanced",undefined
NCT04911803,true,true,"36159937,37224139",37224139,google_scholar,undefined
NCT04316481,false,true,"35025987,36515976,37252734,37278682",,,undefined
NCT03881267,false,true,"32802665,33755940,34278826,36567471,37295271",,,undefined
NCT01777815,true,true,"24076529,24100100,25677432,28471277,29283917,29398137,30598889,34550618,36440013","24076529,24100100,29283917,29398137","linked_at_registration,pubmed_naive,pubmed_enhanced,google_scholar,nct_match",undefined
NCT00863122,true,true,"20511180,22140088,22844108,22931905,26851632,28427224,33604573,38967126,39013626","20511180,22844108",google_scholar,undefined
NCT01739439,true,true,"25101123,33593311,35034325,38347342",35034325,pubmed_naive,undefined
NCT03032198,false,true,"36494323,36734538,36806368,37963110,39298470",,,undefined
NCT02530723,true,true,"28444350,30300075,33680513,37335760",37335760,"pubmed_naive,pubmed_enhanced,google_scholar,nct_match",undefined
NCT03745001,false,true,"30825431,32599064,32959073,33498245,33727159,34385107,34480749,38719481",,,undefined
NCT01941277,false,true,null,,,undefined
NCT04332510,true,true,33859173,33859173,"linked_at_registration,pubmed_naive,pubmed_enhanced,google_scholar,nct_match",undefined
NCT01902953,false,true,"25451666,25790945,31166832,34164542,36427927",,,undefined
NCT05202145,false,true,null,,,undefined
NCT01973569,true,true,"27752258,29702364,31826682,32732353,33858976,39297883","31826682,32732353,33858976","linked_at_registration,pubmed_naive,pubmed_enhanced,google_scholar,nct_match",undefined
NCT05106686,false,true,"36892022,37350091,39125303,39160688,39459383",,,undefined
NCT00536991,false,true,32165494,,,undefined
NCT00584818,false,true,null,,,undefined
NCT00068367,false,true,"23749527,28556483,32439933,33722713,34256542,34844463,35891854,38465087,38881559,39362052",,,undefined
NCT02536105,false,true,"30119076,30648739,38229445,38265792,38321936,38428579,38961730,39241651",,,undefined
NCT04299074,true,true,"34776190,38834943,39220110,39240897,39340509",34776190,"pubmed_enhanced,google_scholar",undefined
NCT00313508,false,true,"21376678,21444680,22453016,25506283,25753266,26347366,32615068,32774769,34785506,35804863,38292657,38697107,39275923,39365257",,,undefined
NCT00076531,false,true,null,,,undefined
NCT01013103,true,true,"20837928,21730307,22192670,24011872,39408924,39415579,39457625,39491623","20837928,21730307,22192670","linked_at_registration,google_scholar,nct_match",undefined
NCT00386425,true,true,"18269691,18269694,19169631,19327331,20029343,21176144,21247509,21317650,21737232,22744305,22973876,23174922,23347624,27598694,39201697","18269691,19169631,21176144,21247509,22744305,22973876","google_scholar,pubmed_enhanced,linked_at_registration,pubmed_naive,nct_match",undefined
NCT03973541,false,true,"32000725,35549980,35708235,36051628,36299540,39432344",,,undefined
NCT00574379,false,true,null,,,undefined
NCT06069271,true,true,"38108631,39178062",39178062,"pubmed_naive,pubmed_enhanced,google_scholar,nct_match",undefined
NCT03882567,true,true,"33371148,39200975,39205971,39400763,39457535","33371148,39200975","google_scholar,pubmed_naive",undefined
NCT05527106,true,true,36294916,36294916,"pubmed_enhanced,google_scholar",undefined
NCT01931098,false,true,"27184418,28785061,32382477,35566032,35785151,36765787,38596714",,,undefined
NCT00528034,true,true,"14751143,18190952,24177255","14751143,18190952,24177255","pubmed_naive,pubmed_enhanced",undefined
NCT03240146,false,true,null,,,undefined
NCT01640210,false,true,26589628,,,undefined
NCT02707185,false,true,null,,,undefined
NCT04885686,true,true,38644670,38644670,"pubmed_naive,pubmed_enhanced,google_scholar,nct_match",undefined
NCT02911948,true,true,"31423685,31760599,32436323,33052536,33595901,36467033,36963632,37454782","31423685,31760599,33595901","linked_at_registration,google_scholar,pubmed_naive,pubmed_enhanced,nct_match",undefined
NCT01963416,true,true,"26280945,26951205,27170728,28065188","27170728,28065188","linked_at_registration,pubmed_naive,pubmed_enhanced,google_scholar,nct_match",undefined
NCT04365426,false,true,"37682674,38618129",,,undefined
NCT01950117,true,true,"27100717,39029000,39132198,39150527,39424007,39456629",27100717,"pubmed_enhanced,google_scholar,nct_match",undefined
NCT01578434,true,true,"22893720,23104564,24401754,35550679,39138889,39376397,39442964","22893720,23104564,24401754,35550679",pubmed_enhanced,undefined
NCT00000935,false,true,null,undefined,,undefined
NCT01485887,true,true,26513202,26513202,"linked_at_registration,pubmed_naive,pubmed_enhanced,google_scholar,nct_match",undefined
NCT00903006,false,true,"20521225,20533896,20545608,20557276,21670084,22006669,22028489,23594190,29253837,29282682",,,undefined
NCT04410354,false,true,"32993173,33245577,33371833,34119845,34391321,34762760,34897729,35136858,36560555",,,undefined
NCT00595309,true,true,"19200452,20581670,21288804,27460550,29912844,31504712,32156630,36377643",21288804,"linked_at_registration,pubmed_naive,google_scholar,nct_match",undefined
NCT03113188,false,true,"30813267,31571182,32765085,34298653,38452398",,,undefined
NCT00555360,true,true,"20308347,21558465,26063161,26125415","26063161,26125415","linked_at_registration,pubmed_naive,google_scholar,nct_match",undefined
NCT03425929,false,true,"39144108,39269460,39312853,39398962,39445149",,,undefined
NCT01368471,true,true,"23103033,23337378,25277335,25603802,29588797","23103033,23337378,25277335,25603802,29588797","linked_at_registration,pubmed_naive,google_scholar,nct_match,pubmed_enhanced",undefined
NCT01113229,true,true,"24457021,27607864,31331275,31342567,37356572,37568268",27607864,"linked_at_registration,pubmed_naive,pubmed_enhanced,google_scholar,nct_match",undefined
NCT00525954,true,true,"19153679,19863869,20739882,20809869,21081550,33865953,38878685,39414483",21081550,"linked_at_registration,pubmed_naive,pubmed_enhanced,google_scholar,nct_match",undefined
NCT04218604,true,true,"35581354,36802003,39009785","36802003,39009785","google_scholar,nct_match",undefined
NCT04949269,false,true,null,,,undefined
NCT03390478,true,true,"31466229,37626516,37736058,37754632,37780429,38037445,39307877",31466229,google_scholar,undefined
NCT04413175,true,true,"34590364,34649478,35244349,35839589,38538050",34649478,"pubmed_naive,google_scholar",undefined
NCT04355221,false,true,null,,,undefined
NCT00109265,false,true,20603615,,,undefined
NCT03023254,true,true,37837493,37837493,"pubmed_naive,pubmed_enhanced,google_scholar,nct_match",undefined
NCT01262066,true,true,30202927,30202927,google_scholar,undefined
NCT03584880,true,true,"31050927,33987442,34383324,39007181,39136788,39243036,39472604",31050927,"linked_at_registration,pubmed_enhanced,google_scholar,nct_match",undefined
NCT01363934,true,true,24623104,24623104,google_scholar,undefined
NCT03647826,true,true,"35074007,38938943,39101900,39196309,39352354,39385203",35074007,"linked_at_registration,pubmed_naive,google_scholar,nct_match",undefined
NCT00191022,true,true,"18271710,20018493",20018493,"linked_at_registration,pubmed_naive,google_scholar,nct_match",undefined
NCT02019303,true,true,"34861968,37556341,37673117,38416904,38422423",38416904,pubmed_naive,undefined
NCT00174486,false,true,null,,,undefined
NCT01844167,true,true,26552835,26552835,google_scholar,undefined
NCT01463280,false,true,null,,,undefined
NCT02672176,true,true,"29439942,29449200,30172572,32130184,33015093,33752609,34836116,36862648,38879823","30172572,32130184","pubmed_enhanced,google_scholar,linked_at_registration,nct_match",undefined
NCT00380809,true,true,"22431433,23266232,26525804,34609284,35128781,35288105,37945548","22431433,23266232,26525804,35128781","google_scholar,linked_at_registration,pubmed_naive,pubmed_enhanced,nct_match",undefined
NCT01282515,true,true,"24530993,26189484,28809342,31455366,33126750",26189484,google_scholar,undefined
NCT00174304,true,true,"16338012,18078022,19407658,24707184,25773438,27202787","18078022,19407658","pubmed_naive,linked_at_registration,nct_match",undefined
NCT02903771,true,true,"29572477,32532126,34206826,36039449,36651035,39500528",34206826,"linked_at_registration,google_scholar,nct_match",undefined
NCT02622997,true,true,"28223432,33514604,38953514,39383889",33514604,pubmed_enhanced,undefined
NCT03555435,true,true,35023846,35023846,"linked_at_registration,pubmed_naive,google_scholar,nct_match",undefined
NCT01474382,true,true,28292340,28292340,pubmed_naive,undefined
NCT02242500,true,true,"26917493,37241054,37421492,38990401,39276125,39462875",26917493,google_scholar,undefined
NCT00879333,true,true,"20868343,21898386,22488092,23911227,24043745,27051587,30668709,39253198",24043745,"linked_at_registration,pubmed_naive,pubmed_enhanced,google_scholar,nct_match",undefined
NCT02276586,true,true,"26445857,27560668,38501401,38783716,39336434,39351703",26445857,google_scholar,undefined
NCT01688154,false,true,"27646690,37237870",,,undefined
NCT04070781,false,true,"32291137,32293938,32537114,33201499,33273867,33930196,34625141,34669521,34868001,38973782",,,undefined
NCT00265460,false,true,null,,,undefined
NCT01476085,false,true,32674438,,,undefined
NCT02707640,false,true,"28287346,30136607,33998354,35126133,37260456,37760016,38295575",,,undefined
NCT02748590,false,true,38606364,,,undefined
NCT02777970,true,true,"28799579,30782886",30782886,"linked_at_registration,pubmed_naive,google_scholar,nct_match",undefined
NCT00545064,false,true,23838019,,,undefined
NCT03300674,true,true,"30819520,32220099","30819520,32220099","linked_at_registration,pubmed_naive,google_scholar,nct_match,pubmed_enhanced",undefined
NCT01839955,true,true,"25028470,28971268,29100024,31562955,33477376,33506949,34154830,35256933",28971268,"pubmed_enhanced,google_scholar",undefined
NCT01487564,false,true,null,,,undefined
NCT03881254,true,true,"32453512,33755940,33942506,34278826,37295271,37306401,37402533","33942506,37402533",google_scholar,undefined
NCT00462462,false,true,null,,,undefined
NCT01582399,false,true,"31509331,35456932",,,undefined
NCT01551186,false,true,"31991615,37367532,37479065",,,undefined
NCT02330575,true,true,"32492824,35681717,37268901,37279982,37504321,37623015,38697290","32492824,35681717","pubmed_naive,google_scholar",undefined
NCT01082471,false,true,null,,,undefined
NCT03525977,true,true,"32358477,33238043,39016440,39051911,39297035,39378430",32358477,"pubmed_enhanced,google_scholar",undefined
NCT02223676,false,true,"39028249,39028615,39029872,39450757",,,undefined
NCT03161600,false,true,null,,,undefined
NCT00390429,false,true,"16764752,18186959",,,undefined
NCT02155101,true,true,"30699105,31202690,31299067,31388941,33626178,36906152,37644069,38153241,38594459,39075393","31299067,38153241","linked_at_registration,pubmed_enhanced,google_scholar,nct_match,pubmed_naive",undefined
NCT02830763,false,true,31186072,,,undefined
NCT05191875,true,true,35880079,35880079,"pubmed_enhanced,google_scholar",undefined
NCT00781534,true,true,"21411505,23737828,23973636,25265315,27074879,27316579,32147072,32470863,33127555",21411505,"linked_at_registration,pubmed_enhanced,google_scholar,nct_match",undefined
NCT00603655,false,true,"38931174,39099651,39221192,39385793",,,undefined
NCT05747872,true,true,"38569747,38588058,38822634,39135298",38588058,pubmed_naive,undefined
NCT03356665,true,true,"32925917,33011238,34460829,34534223,36941656,37525637","33011238,34460829,36941656","pubmed_enhanced,linked_at_registration,pubmed_naive,google_scholar,nct_match",undefined
NCT00318487,true,true,22220590,22220590,google_scholar,undefined
NCT01988870,false,true,null,,,undefined
NCT04470882,false,true,"34726457,37424450,37824261,38009966,38295831",,,undefined
NCT02492373,false,true,null,,,undefined
NCT03842254,true,true,"33721837,34058602,39025730,39348201,39393458,39440014,39505152","33721837,34058602","linked_at_registration,pubmed_enhanced,google_scholar,nct_match",undefined
NCT00455052,false,true,"24415653,26335307,28399679,31424909,31502904,32369437,33662472,38919076,39377875",,,undefined
NCT00626106,false,true,"19663769,23414585,24176518,24451704,24944077,26251289,28528684,29282682,38663101",,,undefined
NCT02015520,true,true,"24766460,26138593,32550671,32779201,33262810,34344706,36535857,38152628,39411714",26138593,google_scholar,undefined
NCT03462199,false,true,null,,,undefined
NCT02115373,true,true,"32361823,33289342,33824476,35771259,36969903,37817425,38354329",33824476,"linked_at_registration,pubmed_naive,google_scholar,nct_match",undefined
NCT02962258,false,true,null,,,undefined
